a,Aa,audio/a.mp3
á,Áá,audio/á.mp3
b,Bb,audio/b.mp3
d,Dd,audio/d.mp3
ð,Ðð,audio/ð.mp3
e,Ee,audio/e.mp3
é,Éé,audio/é.mp3
f,Ff,audio/f.mp3
g,Gg,audio/g.mp3
h,Hh,audio/h.mp3
i,Ii,audio/i.mp3
í,Íí,audio/í.mp3
j,Jj,audio/j.mp3
k,Kk,audio/k.mp3
l,Ll,audio/l.mp3
m,Mm,audio/m.mp3
n,Nn,audio/n.mp3
o,Oo,audio/o.mp3
ó,Óó,audio/ó.mp3
p,Pp,audio/p.mp3
s,Ss,audio/s.mp3
t,Tt,audio/t.mp3
u,Uu,audio/u.mp3
ú,Úú,audio/ú.mp3
v,Vv,audio/v.mp3
x,Xx,audio/x.mp3
y,Yy,audio/y.mp3
ý,Ýý,audio/ý.mp3
z,Zz,audio/z.mp3
þ,Þþ,audio/þ.mp3
æ,Ææ,audio/æ.mp3
ö,Öö,audio/ö.mp3
